factor,outcome,test,group_a,n_a,group_b,n_b,statistic,df,p_raw,effect_size,p_bh_fdr
gender,AR clarity,Mann-Whitney U,male,94,female,30.0,1268.5,,0.4099191083803283,-0.10035460992907796,0.6148786625704925
gender,Voice applicability,Mann-Whitney U,male,94,female,30.0,1233.5,,0.30333910487061777,-0.12517730496453905,0.6148786625704925
gender,Gesture applicability,Mann-Whitney U,male,94,female,30.0,1449.5,,0.8198686530951771,0.028014184397163078,0.8198686530951771
language,AR clarity,Mann-Whitney U,pt,117,en,7.0,473.5,,0.4910586747489516,0.1562881562881564,0.4910586747489516
language,Voice applicability,Mann-Whitney U,pt,117,en,7.0,525.5,,0.2100561199179316,0.2832722832722834,0.4910586747489516
language,Gesture applicability,Mann-Whitney U,pt,117,en,7.0,494.5,,0.35992264427386744,0.2075702075702075,0.4910586747489516
age_group,AR clarity,Kruskal-Wallis,18-24; 25-34; 35-44; 44-54,122,,,15.836802425294572,3.0,0.0012247750084641766,0.10878646123130993,0.00367432502539253
age_group,Voice applicability,Kruskal-Wallis,18-24; 25-34; 35-44; 44-54,122,,,12.818283024712233,3.0,0.005046521672922743,0.08320578834501892,0.006131476656640089
age_group,Gesture applicability,Kruskal-Wallis,18-24; 25-34; 35-44; 44-54,122,,,12.399940254456165,3.0,0.006131476656640089,0.07966051063098445,0.006131476656640089
