family,n_valid,median_spearman,mean_spearman,wilcoxon_greater_than_zero_w,p_greater_than_zero
AR clarity,120,0.8238836355906811,0.7079064723502834,7055.5,1.1038371959734661e-20
Voice applicability,95,0.7181848464596079,0.6686483366464462,4372.5,3.0304833905469656e-16
Gesture applicability,112,0.7656159251091968,0.6776281387651747,6156.5,1.4874954477959836e-19
